i,Left-Right,L_Duty,R_Duty
1,581,50,650
2,580,50,650
3,581,50,650
4,582,50,650
5,586,50,650
6,592,50,650
7,593,50,650
8,595,50,650
9,594,50,650
10,592,50,650
11,588,50,650
12,578,50,650
13,573,50,650
14,565,50,650
15,561,50,650
16,553,50,650
17,548,50,650
18,498,50,650
19,151,199,501
20,32,318,382
21,-8,358,342
22,-83,433,267
23,-156,506,194
24,-235,585,115
25,-107,650,50
26,-91,650,50
27,-169,650,50
28,-272,650,50
29,-274,650,50
30,-310,650,50
31,-528,650,50
32,-324,650,50
33,-209,559,141
34,-188,538,162
35,-162,512,188
36,-138,488,212
37,-65,415,285
38,12,338,362
39,331,50,650
40,401,50,650
41,427,50,650
42,429,50,650
43,426,50,650
44,353,50,650
45,369,50,650
46,241,50,650
47,94,156,544
48,-14,364,336
49,-71,421,279
50,-83,433,267
51,-117,467,233
52,-136,486,214
53,-270,620,80
54,-411,650,50
55,-414,650,50
56,-404,650,50
57,-318,650,50
58,-264,650,50
59,-164,614,86
60,-101,551,149
61,-30,480,220
62,-72,422,278
63,-61,411,289
64,-46,396,304
65,-48,398,302
66,-56,406,294
67,-55,405,295
68,-52,402,298
69,-47,397,303
70,-35,385,315
71,-29,379,321
72,-23,373,327
73,-21,371,329
74,-21,371,329
75,-25,375,325
76,-33,383,317
77,-34,384,316
78,-30,380,320
79,-29,379,321
80,-27,377,323
81,-26,376,324
82,-24,374,326
83,-16,366,334
84,-6,356,344
85,5,345,355
86,14,336,364
87,23,327,373
88,28,322,378
89,29,321,379
90,29,321,379
91,30,320,380
92,31,319,381
93,32,318,382
94,32,318,382
95,31,319,381
96,31,319,381
97,31,319,381
98,30,320,380
99,28,322,378
100,28,322,378
101,28,322,378
102,28,322,378
103,28,322,378
104,28,322,378
105,27,323,377
106,26,324,376
107,26,324,376
108,26,324,376
109,22,328,372
110,20,330,370
111,19,331,369
112,18,332,368
113,19,331,369
114,22,328,372
115,24,326,374
